id,commodity,h2_consumption,h2_production,elec_consumption,ethylene_production,natgas_consumption,natgas_production,process_capture_rate,process_emission_rate,fuel_capture_rate,fuel_emission_rate,investment_cost,fixed_om_cost,variable_om_cost
Existing_CA_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_NW_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_SW_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_TX_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_NCEN_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_CEN_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_SE_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_MIDAT_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
Existing_NE_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
TX_F-NGin_RETROFIT,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,0,49635.75917036871,-2.393091569960389
TX_F-H2in-CH4out_RETROFIT,Ethane,0.11859411783325283,0.0,0.0,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,0,49635.75917036871,-2.393091569960389
TX_F-CC90-NGin_RETROFIT,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,8222.227234,54135.66977734655,-2.273331701113315
TX_F-CC90-NGin-H2out_RETROFIT,Ethane,0.0,0.15555899920781585,0.009054510515771174,0.04858351935980771,0.168122740326781,0.0,0.01770413402268849,0.0019671260025209427,0.027673297574184325,0.0030748108415760353,16914.897,58895.31361204106,-2.2636149972277417
TX_F-H2in_RETROFIT,Ethane,0.012112048378269633,0.0,0.0,0.04858351935980771,0.0,0.0,0,0.01967126002520943,0,0,0,49635.75917036871,-2.393091569960389
TX_F-Ein_RETROFIT,Ethane,0.0,0.15555899920781585,0.16493499752600702,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,61944.78541,65759.56480356639,-1.8949334327023846
NCEN_F-NGin_RETROFIT,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,0,49635.75917036871,-2.393091569960389
NCEN_F-H2in-CH4out_RETROFIT,Ethane,0.11859411783325283,0.0,0.0,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,0,49635.75917036871,-2.393091569960389
NCEN_F-CC90-NGin_RETROFIT,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,8222.227234,54135.66977734655,-2.273331701113315
NCEN_F-CC90-NGin-H2out_RETROFIT,Ethane,0.0,0.15555899920781585,0.009054510515771174,0.04858351935980771,0.168122740326781,0.0,0.01770413402268849,0.0019671260025209427,0.027673297574184325,0.0030748108415760353,16914.897,58895.31361204106,-2.2636149972277417
NCEN_F-H2in_RETROFIT,Ethane,0.012112048378269633,0.0,0.0,0.04858351935980771,0.0,0.0,0,0.01967126002520943,0,0,0,49635.75917036871,-2.393091569960389
NCEN_F-Ein_RETROFIT,Ethane,0.0,0.15555899920781585,0.16493499752600702,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,61944.78541,65759.56480356639,-1.8949334327023846
CEN_F-NGin_RETROFIT,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,0,49635.75917036871,-2.393091569960389
CEN_F-H2in-CH4out_RETROFIT,Ethane,0.11859411783325283,0.0,0.0,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,0,49635.75917036871,-2.393091569960389
CEN_F-CC90-NGin_RETROFIT,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,8222.227234,54135.66977734655,-2.273331701113315
CEN_F-CC90-NGin-H2out_RETROFIT,Ethane,0.0,0.15555899920781585,0.009054510515771174,0.04858351935980771,0.168122740326781,0.0,0.01770413402268849,0.0019671260025209427,0.027673297574184325,0.0030748108415760353,16914.897,58895.31361204106,-2.2636149972277417
CEN_F-H2in_RETROFIT,Ethane,0.012112048378269633,0.0,0.0,0.04858351935980771,0.0,0.0,0,0.01967126002520943,0,0,0,49635.75917036871,-2.393091569960389
CEN_F-Ein_RETROFIT,Ethane,0.0,0.15555899920781585,0.16493499752600702,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,61944.78541,65759.56480356639,-1.8949334327023846
SE_F-NGin_RETROFIT,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,0,49635.75917036871,-2.393091569960389
SE_F-H2in-CH4out_RETROFIT,Ethane,0.11859411783325283,0.0,0.0,0.04858351935980771,0.0,0.10750343399560407,0,9.867181276469739e-06,0,0,0,49635.75917036871,-2.393091569960389
SE_F-CC90-NGin_RETROFIT,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,8222.227234,54135.66977734655,-2.273331701113315
