source_file,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,h2_production,ethane_consumption,natgas_production,LCOE ($/t-ethylene)
balance_duals.csv,ethylene_demand_global,,,,,,,,,,,,,,,,,,,603.245966
LCOE_SC_ESC_6a.csv,TX_F-CC90-NGin_RETROFIT,0.0,3.10701588725364,,,,3.3311981247685583,,21.466136555687847,,141.334415469421,,-46.79224006554788,,-109.61713751710224,129.41027202665384,0.0,464.0112593129612,0.0,606.2509197940959
LCOE_SC_ESC_6a.csv,CEN_F-CC90-NGin_RETROFIT,0.0,3.953918507918888,,,,3.333595637532384,,21.466136555687847,,141.334415469421,,-46.79224006554788,,-105.47802619276708,129.41027202665384,0.0,464.0112593129612,0.0,611.2393312518602
LCOE_SC_ESC_6a.csv,NCEN_F-CC90-NGin_RETROFIT,0.0,4.899430650107875,,,,3.333595637532384,,21.466136555687847,,141.334415469421,,-46.79224006554788,,-101.41597187737284,129.41027202665384,0.0,464.0112593129612,0.0,616.2468977094434
LCOE_SC_ESC_6a.csv,SE_F-CC90-NGin_RETROFIT,0.0,6.201227864095495,,,,3.333595637532384,,21.466136555687847,,141.334415469421,,-46.79224006554788,,-98.94786514160931,129.41027202665384,0.0,464.0112593129612,0.0,620.0168016591945
LCOE_SC_ESC_6a.csv,MIDAT_F-CC90-NGin_RETROFIT,0.0,6.460199122182283,,,,3.333595637532384,,21.466136555687847,,141.334415469421,,-46.79224006554788,,-95.13165068813908,129.41027202665384,0.0,464.0112593129612,0.0,624.0919873707516
LCOE_SC_ESC_6a.csv,TX_F-CC90-NGin-H2out_RETROFIT,0.0,3.8183316056787935,,,,46.11486217427719,,44.16047848032446,,153.76063060605685,,-46.59224006526772,,-252.45401285502567,298.03863901018354,-60.93330037894384,464.0112593129612,0.0,649.9246478902447
LCOE_SC_ESC_6a.csv,CEN_F-CC90-NGin-H2out_RETROFIT,0.0,4.859122886046755,,,,46.14805172546084,,44.16047848032446,,153.76063060605685,,-46.59224006526772,,-242.9214225397653,298.03863901018354,-68.28322202214522,464.0112593129612,0.0,653.1812973938554
LCOE_SC_ESC_6a.csv,NCEN_F-CC90-NGin-H2out_RETROFIT,0.0,6.021099209014476,,,,46.14805172546084,,44.16047848032446,,153.76063060605685,,-46.59224006526772,,-233.5662985547374,298.03863901018354,-76.59582018115117,464.0112593129612,0.0,655.3857995428452
LCOE_SC_ESC_6a.csv,SE_F-CC90-NGin-H2out_RETROFIT,0.0,7.620927992235546,,,,46.14805172546084,,44.16047848032446,,153.76063060605685,,-46.59224006526772,,-227.88211938612145,298.03863901018354,-83.70996438015732,464.0112593129612,0.0,655.5556632956759
