source_file,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,h2_production,ethane_consumption,natgas_production,LCOE ($/t-ethylene)
LCOE_BIO_ETHYLENE_7.csv,NW_B-H2in,45.4691746090972,6.158149380254327,10.450407349316384,0.0,731.5650132921048,0.0,63.08203185634555,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-248.97750369640528,98.00350417454642,,,,758.0037506355628
LCOE_BIO_ETHYLENE_7.csv,NW_B-NGin,0.0,6.158149380254327,10.450407349316384,0.0,731.5650132921048,22.396402972850883,63.08203185634555,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-248.97750369640528,132.79032360934116,,,,769.7177984341114
LCOE_BIO_ETHYLENE_7.csv,CA_B-H2in,48.62031209459582,8.421955161892646,14.292095999110224,0.0,731.5650132921048,0.0,63.08203185634555,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-244.7536721077135,98.00350417454642,,,,771.4842141411855
LCOE_BIO_ETHYLENE_7.csv,TX_B-H2in,31.357923454892013,4.643958405880643,7.880818417680277,0.0,731.5650132921048,0.0,61.74704916146501,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-209.7185179141481,98.00350417454642,,,,777.7327226627244
LCOE_BIO_ETHYLENE_7.csv,CA_B-NGin,0.0,8.421955161892646,14.292095999110224,0.0,731.5650132921048,22.396402972850883,63.08203185634555,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-244.7536721077135,132.79032360934116,,,,780.0471244542352
LCOE_BIO_ETHYLENE_7.csv,SW_B-H2in,43.197862648977086,6.454306171123915,10.952986762829358,0.0,731.5650132921048,0.0,63.08203185634555,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-221.15604715505253,98.00350417454642,,,,784.352631421178
LCOE_BIO_ETHYLENE_7.csv,SW_B-NGin,0.0,6.454306171123915,10.952986762829358,0.0,731.5650132921048,22.396402972850883,63.08203185634555,11.843234411429815,26.201549810398895,11.386217261862534,116.84791455349432,1.561329733270561,-115.58727210015256,-221.15604715505253,132.79032360934116,,,,798.3379911798467
LCOE_SC_ESC_7.csv,Existing_NW_F-NGin-H2out,0.0,0.0,,,,0.0,,236.7683070287798,,129.5862977462161,,-49.26224006900792,,0.0,483.4818146619808,0.0,0.0,0.0,800.5741793679688
LCOE_SC_ESC_7.csv,Existing_SW_F-NGin-H2out,0.0,0.0,,,,0.0,,236.7683070287798,,129.5862977462161,,-49.26224006900792,,0.0,483.4818146619808,0.0,0.0,0.0,800.5741793679688
LCOE_SC_ESC_7.csv,Existing_TX_F-NGin-H2out,0.0,0.0,,,,0.0,,236.7683070287798,,129.5862977462161,,-49.26224006900792,,0.0,483.4818146619808,0.0,0.0,0.0,800.5741793679688
