LCOE for steam/electric cracker ($/t-ethylene),,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,h2_production,elec_consumption,ethane_consumption,natgas_consumption,natgas_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,id_LC,h2_consumption,h2_production,elec_consumption,ethane_consumption,natgas_consumption,natgas_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,
CA_F-NGin-H2out,0.0,0.0,0.0,20583111581.399403,47.472962275203464,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,20583112055.151386,,SW_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-30.35756495465341,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,793.350514483894,,
NW_F-NGin-H2out,0.0,0.0,0.0,20583111581.399403,47.47597290074092,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,20583112055.154396,,MIDAT_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-29.709402495359086,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,793.9986769431883,,
SW_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,47.47566491720893,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,937.7659512900062,,NE_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-29.709068369327312,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,793.99901106922,,
TX_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,46.114588795636436,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,936.4048751684338,,NCEN_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-29.708278415729012,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,793.9998010228184,,
NCEN_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,46.460257054184524,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,936.7505434269818,,CEN_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-29.708161139704615,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,793.9999182988428,,
CEN_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,46.46007364826098,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,936.7503600210583,,SE_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-29.70814786317355,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,793.9999315753738,,
SE_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,46.460052885326235,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,936.7503392581235,,TX_F-H2in-CH4out,0.0,0.0,0.0,464.01125931296116,0.0,-29.487246301067003,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.5994869206263,794.2208331374803,,
MIDAT_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,46.46201498265927,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,936.7523013554566,,SW_F-H2in,0.0,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.599486920625544,823.7080794385465,,
NE_F-NGin-H2out,0.0,0.0,0.0,464.01125931296116,46.46149244880162,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,109.18666235384815,936.7517788215989,,TX_F-H2in,0.0,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.599486920625544,823.7080794385465,,
CA_F-NGin,0.0,0.0,0.0,20583111581.399403,3.429303167181048,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,47.40954301704195,20583111949.33558,,NCEN_F-H2in,0.0,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,42.599486920625544,823.7080794385465,,
