source_file,id_LC,h2_consumption - ethanol upgrade,elec_consumption - ethanol upgrade,elec_consumption - ethanol prod.,elec_production - ethanol upgrade,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost - ethanol upgrade,investment_cost - ethanol prod.,fixed_om_cost - ethanol upgrade,fixed_om_cost - ethanol prod.,variable_om_cost - ethanol upgrade,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,elec_production,elec_consumption,biomass_consumption,investment_cost,fixed_om_cost,variable_om_cost,LCOE ($/MWh-fuel)
LCOE_ETHANOL_UPGRADE_2.csv,NW_Ethanol_to_Gasoline,0.0,0.0,0.7784796336157291,0.0,0.0,54.52565372188384,4.715698677510591,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-18.021417656005653,6.922772602092229,,,,,,,92.07245846634144
LCOE_ETHANOL_UPGRADE_2.csv,CA_Ethanol_to_Gasoline,0.0,0.0,1.0635342898248246,0.0,0.0,54.52565372188384,4.715157857823022,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-18.17461301174158,6.922772602092229,,,,,,,92.20377694712704
LCOE_ETHANOL_UPGRADE_2.csv,NW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7745488135235383,0.0,0.0,54.25033433530679,4.691887440440481,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-17.93042111922669,7.044618081403183,,,,,,,93.32246995023344
LCOE_ETHANOL_UPGRADE_2.csv,CA_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.0581641275564038,0.0,0.0,54.25033433530679,4.69134935154355,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-18.082842937214995,7.044618081403183,,,,,,,93.45312535738108
LCOE_ETHANOL_UPGRADE_2.csv,SW_Ethanol_to_Gasoline,0.0,0.0,0.8147340360962926,0.0,0.0,54.52565372188384,4.715642385295345,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-16.416824292563795,6.922772602092229,,,,,,,93.7132499400486
LCOE_ETHANOL_UPGRADE_2.csv,TX_Ethanol_to_Gasoline,0.0,0.0,0.5886856368931581,0.0,0.0,54.52565372188384,4.602152099096363,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-15.563035169945588,6.922772602092229,,,,,,,94.22750037726468
LCOE_ETHANOL_UPGRADE_2.csv,SW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8106201546527867,0.0,0.0,54.25033433530679,4.691831432464618,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-16.333929917434865,7.044618081403183,,,,,,,94.95497648517868
LCOE_ETHANOL_UPGRADE_2.csv,TX_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.5857131540823541,0.0,0.0,54.25033433530679,4.578914199018716,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-15.48445187925967,7.044618081403183,,,,,,,95.46663028933752
LCOE_ETHANOL_UPGRADE_2.csv,CEN_Ethanol_to_Gasoline,0.0,0.0,0.7378006583611728,0.0,0.0,54.52565372188384,4.635303724312448,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-13.788572093190531,6.922772602092229,,,,,,,96.18423010070386
LCOE_ETHANOL_UPGRADE_2.csv,CEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7340752408593076,0.0,0.0,54.25033433530679,4.611898429907626,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-13.718948696654396,7.044618081403183,,,,,,,97.41347978960866
balance_duals.csv,jetfuel_demand_global,,,,,,,,,,,,,,,,,,,,,,97.899954
LCOE_ETHANOL_UPGRADE_2.csv,NCEN_Ethanol_to_Gasoline,0.0,0.0,0.8937408988172407,0.0,0.0,54.52565372188384,4.635331352393549,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-12.046256415015382,6.922772602092229,,,,,,,98.08251364741618
LCOE_ETHANOL_UPGRADE_2.csv,NCEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8892280836701492,0.0,0.0,54.25033433530679,4.611925918484736,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-11.985430588998724,7.044618081403183,,,,,,,99.30217822865228
LCOE_ETHANOL_UPGRADE_2.csv,SE_Ethanol_to_Gasoline,0.0,0.0,1.111927045703575,0.0,0.0,54.52565372188384,4.635298544047241,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-11.009770427396775,6.922772602092229,,,,,,,99.3371529735748
LCOE_ETHANOL_UPGRADE_2.csv,MIDAT_Ethanol_to_Gasoline,0.0,0.0,1.1452782376511297,0.0,0.0,54.52565372188384,4.635531655981538,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-9.920599643459738,6.922772602092229,,,,,,,100.45990806139368
LCOE_ETHANOL_UPGRADE_2.csv,SE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.1063125312274529,0.0,0.0,54.25033433530679,4.611893275799417,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-10.954178187166404,7.044618081403183,,,,,,,100.5504824353566
balance_duals.csv,gasoline_demand_global,,,,,,,,,,,,,,,,,,,,,,100.742028
LCOE_BIOLF_2.csv,NCEN_Gasoline_Gasification_CCS_31_Agri,,,,,,,,,,,,,,-13.875688841467737,0.0003010654635568,0.0,1.6647593339925062,48.61858191090757,28.688537921426043,23.372308126451365,12.274771024146544,100.74357054091986
LCOE_BIOLF_2.csv,SE_Gasoline_Gasification_Non_CCS_Herb,,,,,,,,,,,,,,0.0,-0.0006044444519515,0.0,0.0,49.71186940390798,22.34060962863324,17.788439420822804,10.903586445708632,100.7439004546207
LCOE_BIOLF_2.csv,MIDAT_Gasoline_Gasification_Non_CCS_Wood,,,,,,,,,,,,,,0.0,-0.0001924084932395,0.0,0.0,51.88889462467441,21.3883695781587,17.030229831491027,10.438834951456313,100.74613657728722
LCOE_BIOLF_2.csv,MIDAT_Gasoline_Gasification_Non_CCS_Herb,,,,,,,,,,,,,,0.0,0.0006320260387017,0.0,0.0,49.99708810941112,22.21751481491715,17.690426668565603,10.843508633836768,100.74917025276936
LCOE_BIOLF_2.csv,NW_Gasoline_Gasification_CCS_99_Wood,,,,,,,,,,,,,,-62.044514324938994,-0.0006044444519515,0.0,14.464321584789598,74.34616710937136,34.90228046645605,25.689010527763244,13.392609161657113,100.74927008064644
LCOE_BIOLF_2.csv,SE_Gasoline_Gasification_Non_CCS_Agri,,,,,,,,,,,,,,0.0,-4.882194435353253e-05,0.0,0.0,46.84481032500784,23.59783799993839,18.78949226104781,11.517190929041696,100.7492826930914
LCOE_BIOLF_2.csv,NE_Gasoline_Gasification_Non_CCS_Wood,,,,,,,,,,,,,,0.0,0.000178779091803,0.0,0.0,51.58294204556287,21.523945460052467,17.138180482886906,10.505004289390907,100.75025105698496
LCOE_BIOLF_2.csv,MIDAT_Gasoline_Gasification_Non_CCS_Agri,,,,,,,,,,,,,,0.0,0.000604285952435,0.0,0.0,47.00461863082213,23.52898945726898,18.734672444093626,11.4835886214442,100.75247343958138
LCOE_BIOLF_2.csv,NE_Gasoline_Gasification_Non_CCS_Herb,,,,,,,,,,,,,,0.0,-0.0003675590027737,0.0,0.0,50.20004557929818,22.13367102738781,17.623667069786954,10.80258772789649,100.75960384536668
LCOE_BIOLF_2.csv,NW_Gasoline_Gasification_CCS_99_Herb,,,,,,,,,,,,,,-62.57925396305794,0.000302610744701,0.0,15.328652125438293,69.60879994073781,36.987902441092416,27.224083999964016,14.19289841473653,100.76338556965584
LCOE_BIOLF_2.csv,NE_Gasoline_Gasification_Non_CCS_Agri,,,,,,,,,,,,,,0.0,0.0003913138307985,0.0,0.0,47.63438607334157,23.25996207472296,18.52046265409626,11.352286773794807,100.7674888897864
LCOE_BIOLF_2.csv,CEN_Gasoline_Gasification_CCS_99_Herb,,,,,,,,,,,,,,-47.7641324496386,0.0003026107447497,0.0,14.527662820682504,55.68188256210183,36.987902441092416,27.224083999964016,14.19289841473653,100.85060039968344
LCOE_BIOLF_2.csv,SW_Gasoline_Gasification_CCS_99_Herb,,,,,,,,,,,,,,-56.79326111908964,-0.0006525022268258,0.0,16.14938976147154,62.59624509072832,37.23430457517676,27.40544255109478,14.287447178722347,100.87891553587728
LCOE_BIOLF_2.csv,SE_Gasoline_Gasification_CCS_31_Herb,,,,,,,,,,,,,,-11.88618940387869,-0.0006044444519393,0.0,1.9688170625772945,49.71186940390798,27.27078628237065,22.21727791035812,11.668167202572349,100.95012401345576
LCOE_BIOLF_2.csv,SE_Gasoline_Gasification_CCS_31_Agri,,,,,,,,,,,,,,-12.53750166750762,-4.882194436640443e-05,0.0,2.079613173790365,46.84481032500784,28.80546267625263,23.46756573089609,12.324798829553767,100.98470024604872
LCOE_BIOLF_2.csv,SW_Gasoline_Gasification_CCS_99_Wood,,,,,,,,,,,,,,-56.38276482991871,0.0005777632462611,0.0,15.27963194035748,67.45020649106303,35.22897631842335,25.92946739958944,13.51796801505174,101.02406309781256
LCOE_BIOLF_2.csv,NCEN_Gasoline_Gasification_CCS_31_Herb,,,,,,,,,,,,,,-13.108128577449415,5.99092848672168e-05,0.0,1.570370397231358,52.26708752638555,27.06194809769392,22.04713921544791,11.5788130185067,101.4172895871009
LCOE_BIOLF_2.csv,MIDAT_Gasoline_Gasification_CCS_31_Wood,,,,,,,,,,,,,,-10.815590472994474,-0.0001924084932278,0.0,1.9414344824058725,51.88889462467441,26.10840372711924,21.27029471739945,11.17082642671087,101.56407109682216
LCOE_ETHANOL_UPGRADE_2.csv,MIDAT_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.139495321164543,0.0,0.0,54.25033433530679,4.612125210668784,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-9.870507013259548,7.044618081403183,,,,,,,101.66756833406993
LCOE_BIOLF_2.csv,MIDAT_Gasoline_Gasification_CCS_31_Herb,,,,,,,,,,,,,,-10.793083579950832,0.0006320260387138,0.0,2.016696467555468,49.99708810941112,27.120526624594024,22.094862643670453,11.603876617307028,102.04059890862598
LCOE_BIOLF_2.csv,MIDAT_Gasoline_Gasification_CCS_31_Agri,,,,,,,,,,,,,,-11.426873185204064,0.000604285952435,0.0,2.135739767427321,47.00461863082213,28.721420480260644,23.399097267786257,12.288840262582056,102.1234475096268
LCOE_ETHANOL_UPGRADE_2.csv,NE_Ethanol_to_Gasoline,0.0,0.0,1.3810598942501495,0.0,0.0,54.52565372188384,4.635440828664915,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-8.46146198319885,6.922772602092229,,,,,,,102.154736550937
LCOE_ETHANOL_UPGRADE_2.csv,NW_Ethanol_to_Diesel,0.4166930310760163,0.0,0.7742132374492462,0.0,0.0,54.22683018178228,4.689854663240654,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060669e-06,10.573756333008005,-8.567839168721601,-17.922652699438885,7.033612443961301,,,,,,,102.2178512874697
LCOE_BIOLF_2.csv,NCEN_Gasoline_Gasification_Non_CCS_Agri,,,,,,,,,,,,,,0.0,0.0003010654635311,0.0,0.0,48.61858191090757,23.50205160505937,18.713223506033152,11.470441298917567,102.3045993863812
LCOE_BIOLF_2.csv,CEN_Gasoline_Gasification_CCS_99_Wood,,,,,,,,,,,,,,-47.74963132972428,0.0002626578366783,0.0,13.887765293928808,61.27814370692098,35.358702508246644,26.024949339782435,13.567746199603436,102.36793837659472
LCOE_ETHANOL_UPGRADE_2.csv,CA_Ethanol_to_Diesel,0.4447275956122621,0.0,1.05770567412173,0.0,0.0,54.22683018178228,4.689316807472682,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060669e-06,10.573756333008005,-8.567839168721601,-18.07500848012338,7.033612443961301,,,,,,,102.37648465222598
LCOE_BIOLF_2.csv,SE_Gasoline_Gasification_CCS_31_Wood,,,,,,,,,,,,,,-12.027149462016984,0.000577763246238,0.0,1.872043128880527,54.40572248353716,25.930336062940867,21.125224504134028,11.094637817497649,102.40139229821948
LCOE_BIOLF_2.csv,NCEN_Gasoline_Gasification_CCS_31_Wood,,,,,,,,,,,,,,-13.043939518510712,0.0004000903881754,0.0,1.5110299637239617,55.69623541637145,26.039343663413288,21.214032070185127,11.141278163525577,102.55837984909684
LCOE_BIOLF_2.csv,NCEN_Gasoline_Gasification_Non_CCS_Herb,,,,,,,,,,,,,,0.0,5.990928487930959e-05,0.0,0.0,52.26708752638555,22.16952646619316,17.65221652800221,10.820087379117371,102.90897780898318
