source_file,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,biomass_consumption,LCOE ($/MWh-fuel)
balance_duals.csv,jetfuel_demand_global,,,,,,,,,,,,,,,,,97.660537
LCOE_BIOLF_6.csv,SE_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-4.158167205767535,,,,41.755750111494734,,18.688955688827463,,21.109012299038746,,-26.02227560278548,-7.607970222219477e-05,46.69489904713932,98.06809825824502
LCOE_BIOLF_6.csv,SW_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-3.050408641690803,,,,41.755750111494734,,18.688955688827463,,21.109012299038746,,-38.85667431566924,-7.607970223221465e-05,58.42153926877387,98.06809833107252
LCOE_BIOLF_6.csv,CA_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-3.982424286022576,,,,41.28267077133711,,18.477215777512317,,20.869853917662684,,-43.9641093291137,-0.0009845820600373,65.38588022908367,98.06810249839948
LCOE_BIOLF_6.csv,NCEN_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-3.3530481667323784,,,,43.57765956569584,,19.50440230319081,,22.03005213124808,,-28.55087032458521,-0.000383775053132,44.86030972094449,98.06812145470852
LCOE_BIOLF_6.csv,NCEN_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-3.352143841335413,,,,41.9317638960561,,18.767735588877315,,21.19799350840956,,-28.40398214378652,-0.0005544066636177,47.927313156008935,98.06812575756636
LCOE_BIOLF_6.csv,CEN_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-2.7419062870868225,,,,43.840777210495325,,19.622167975977813,,22.16306743058616,,-32.70469932665011,-0.0004868399847124,47.88920846187747,98.06812862521512
LCOE_BIOLF_6.csv,CA_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-3.981823084846076,,,,43.93565809399492,,19.6646345733376,,22.211033081577668,,-43.56434459695902,0.000431416646032,59.80255598250961,98.06814546626076
LCOE_BIOLF_6.csv,SW_FT_High_Jetfuel_CCS_84_Agri,,0.0,,-3.0507601817710053,,,,46.92868023334146,,21.004245476951297,,23.72411190262773,,-41.99823604646781,0.000236618198963,51.45987167995472,98.06814968283535
LCOE_BIOLF_6.csv,SW_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-3.0501029701876585,,,,44.13057250814689,,19.751873979634297,,22.3095692294042,,-39.15335612938312,-6.974128260496633e-05,54.07966816024135,98.06815503657332
LCOE_BIOLF_6.csv,CA_FT_High_Jetfuel_CCS_84_Agri,,0.0,,-3.9825985563804087,,,,43.69634240747371,,19.557522133755175,,22.0900505161432,,-43.13870785657056,-0.0001172843086829,59.84566395783,98.06815531794246
LCOE_BIOLF_6.csv,CEN_FT_High_Jetfuel_CCS_84_Agri,,0.0,,-2.741690862851528,,,,46.54659280829811,,20.8332315462513,,23.53095316082541,,-35.00473318722485,-8.19902830730365e-05,44.903894997894334,98.06816647290972
LCOE_BIOLF_6.csv,MIDAT_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-4.29108422377652,,,,42.039862856315565,,18.81611830677612,,21.25264136590313,,-25.0050725156631,0.0008208199380259,45.53771363367424,98.35100024316748
LCOE_BIOLF_6.csv,NCEN_FT_High_Jetfuel_CCS_84_Agri,,0.0,,-3.3517551361166578,,,,46.19640713816648,,20.676496139643177,,23.353921887335712,,-30.3136803005614,0.0001624052544584,42.03087818696884,98.5924303206906
LCOE_BIOLF_6.csv,NW_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-2.9219298897991437,,,,41.36679148775893,,18.51486636066605,,20.91237992265147,,-42.83096113720468,-0.0001210290590296,63.70794277872499,98.74896849373856
LCOE_BIOLF_6.csv,NW_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-2.921885589246364,,,,43.840777210495325,,19.622167975977813,,22.16306743058616,,-43.2226369789808,-0.0004868399847229,59.45379903040987,98.9348022392573
LCOE_BIOLF_6.csv,CEN_FT_High_Jetfuel_CCS_84_Wood,,0.0,,-2.741852871081901,,,,41.90879823500753,,18.75745666392554,,21.18638355240984,,-32.69349538182354,6.620569617847932e-05,52.562962588473205,98.98031899260688
LCOE_BIOLF_6.csv,SE_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-4.159083871010463,,,,43.91238400680436,,19.65421760362586,,22.19926720522668,,-25.699525876806916,-8.796286737444784e-05,43.59785105725511,99.50502216222723
LCOE_BIOLF_6.csv,NW_FT_High_Jetfuel_CCS_84_Agri,,0.0,,-2.921726460525683,,,,47.79910791918403,,21.393829771512017,,24.16414396232761,,-46.48846460020405,5.3866617867452537e-05,55.76530008168756,99.71224454059931
LCOE_BIOLF_6.csv,MIDAT_Gasoline_Gasification_Non_CCS_Herb,,0.0,,0.0,,,,22.21751481491715,,17.690426668565603,,10.843508633836768,,0.0,0.0006124278793289,49.13589216313277,99.88795470833162
LCOE_BIOLF_6.csv,NCEN_Gasoline_Gasification_CCS_31_Agri,,1.6659097646752703,,0.0,,,,28.688537921426043,,23.372308126451365,,12.274771024146544,,-13.212682506411102,0.0002917298846801,47.09881869275603,99.88795475292883
LCOE_BIOLF_6.csv,NE_Gasoline_Gasification_Non_CCS_Herb,,0.0,,0.0,,,,22.13367102738781,,17.623667069786954,,10.80258772789649,,0.0,-0.0003561615610954,49.3283851205646,99.88795478407476
LCOE_BIOLF_6.csv,SE_Gasoline_Gasification_Non_CCS_Herb,,0.0,,0.0,,,,22.34060962863324,,17.788439420822804,,10.903586445708632,,0.0,-0.0005857015553365,48.85590502102399,99.88795481463332
LCOE_BIOLF_6.csv,NE_Gasoline_Gasification_Non_CCS_Wood,,0.0,,0.0,,,,21.523945460052467,,17.138180482886906,,10.505004289390907,,0.0,0.0001732354260058,50.7206515108188,99.8879549785751
LCOE_BIOLF_6.csv,MIDAT_Gasoline_Gasification_Non_CCS_Wood,,0.0,,0.0,,,,21.3883695781587,,17.030229831491027,,10.438834951456313,,0.0,-0.0001864422005802,51.030707080274695,99.88795499918017
balance_duals.csv,gasoline_demand_global,,,,,,,,,,,,,,,,,99.887955
