UNSORTED,,,,,,,,,,,,,SORTED,,,,,,,,,,,
id,elec_production,elec_consumption,biomass_consumption,natgas_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-ethanol),LCOE ($/GJ-ethanol),,id,elec_production,elec_consumption,biomass_consumption,natgas_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-ethanol),LCOE ($/GJ-ethanol)
CEN_Bio_Ethanol_Herb,-2.7377503331318023,0.0,56.806854091092305,0.0,17.45471442935871,9.206349535004849,0.2267230955259976,0.0,0.00046516133875214446,80.95735597918882,,,NW_DryMill_CCS_Fermentation_Exhaust,0.0,0.7358636601143845,51.54077946979481,4.457549226705155,1.845971685370083,8.23225890533723,-8.143443156227582,-17.034878992536783,6.623714419066479,48.25781521762379,
MIDAT_Bio_Ethanol_Herb,-4.2493746436458535,0.0,51.008372314796226,0.0,17.38813350702227,9.171231959986763,0.22585826139329454,0.0,0.00019214123268821882,73.5444135407854,,,CA_DryMill_CCS_Fermentation_Exhaust,0.0,1.0053136927072917,51.54077946979481,4.457038012875569,1.845971685370083,8.23225890533723,-8.143443156227582,-17.179688041247246,6.623714419066479,48.38194498767664,
NCEN_Bio_Ethanol_Herb,-3.3166387895026794,0.0,53.32462763559874,0.0,17.350687233631078,9.151481222556031,0.2253718635748986,0.0,-0.0005115219357655814,76.73501764392229,,,SW_DryMill_CCS_Fermentation_Exhaust,0.0,0.7701334035381109,51.54077946979481,4.457496016070275,1.845971685370083,8.23225890533723,-8.143443156227582,-15.518125188800894,6.623714419066479,49.80878555414852,
SE_Bio_Ethanol_Herb,-4.125171464042392,0.0,50.715389351501386,0.0,17.48378359797687,9.221681835517346,0.22710068130204392,0.0,3.002988507376784e-05,73.52281403214032,,,TX_DryMill_CCS_Fermentation_Exhaust,0.0,0.5564594739735967,51.54077946979481,4.35021847946739,1.845971685370083,8.23225890533723,-8.143443156227582,-14.711074674431483,6.623714419066479,50.29488460235053,
TX_Bio_Ethanol_Herb,-2.1838047625120187,0.0,71.0324219422094,0.0,17.531560750666046,9.246881512614557,0.22772126916654017,0.0,0.0005949932977594959,95.85537570544227,,,CEN_DryMill_CCS_Fermentation_Exhaust,0.0,0.6974115563881922,51.54077946979481,4.381555299618924,1.845971685370083,8.23225890533723,-8.143443156227582,-13.03375026154472,6.623714419066479,52.14449791780342,
CEN_Bio_Ethanol_Wood,-2.738191355649745,0.0,62.51775551488296,0.0,16.68631018177014,8.80106085978115,0.2167421250361237,0.0,-0.00021685004797443235,85.48346047577263,,,NW_DryMill_CCS_Fermentation,0.0,0.7358636601143845,51.54077946979481,4.457549226705155,1.1219173819252375,7.835557847855159,-8.17243484467934,-11.933483503451379,6.623714419066479,52.209463657330495,
MIDAT_Bio_Ethanol_Wood,-4.248586048606078,0.0,52.93685123447842,0.0,16.738714402759417,8.82870104704915,0.21742281490071025,0.0,0.00018269409396700438,74.47328614467558,,,CA_DryMill_CCS_Fermentation,0.0,1.0053136927072917,51.54077946979481,4.457038012875569,1.1219173819252375,7.835557847855159,-8.17243484467934,-12.03492692401773,6.623714419066479,52.37695905552747,
NCEN_Bio_Ethanol_Wood,-3.315727126307166,0.0,56.82352657703244,0.0,16.695155510284405,8.805726257567166,0.21685701893884632,0.0,-0.00035571301248804474,79.22518252450321,,,SW_DryMill_CCS_Fermentation,0.0,0.7701334035381109,51.54077946979481,4.457496016070275,1.1219173819252375,7.835557847855159,-8.17243484467934,-10.870948424475515,6.623714419066479,53.306215269095205,
SE_Bio_Ethanol_Wood,-4.126309524906421,0.0,55.5075179959689,0.0,16.62545215442517,8.768961779958548,0.21595162683558883,0.0,-0.00047540747804338196,76.99109862480374,,,TX_DryMill_CCS_Fermentation,0.0,0.5564594739735967,51.54077946979481,4.35021847946739,1.1219173819252375,7.835557847855159,-8.17243484467934,-10.305583445722291,6.623714419066479,53.55062878168104,
TX_Bio_Ethanol_Wood,-2.184751406230257,0.0,77.97544297030666,0.0,16.836330465758454,8.880187858812084,0.21869077124945327,0.0,-0.00011328765668285881,101.7257873722397,,,NCEN_DryMill_CCS_Fermentation_Exhaust,0.0,0.8448152277830977,51.54077946979481,4.381581415267944,1.845971685370083,8.23225890533723,-8.143443156227582,-11.386813416117223,6.623714419066479,53.93886455027485,
