Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol,elec_production,elec_production - ethanol,biomass_consumption - ethanol,natgas_consumption - ethanol,investment_cost,investment_cost - ethanol,fixed_om_cost,fixed_om_cost - ethanol,variable_om_cost,variable_om_cost - ethanol,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
CA_Ethanol_to_Gasoline,0.0,0.0,1.0612220867874955,0.0,0.0,54.52565372188384,4.73772205700988,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-17.191283890526428,6.205724556589689,92.49031001898918,
NW_Ethanol_to_Gasoline,0.0,0.0,0.7790870442523748,0.0,0.0,54.52565372188384,4.738022512391862,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-17.022945403438133,6.205724556589689,92.37681391892434,
SW_Ethanol_to_Gasoline,0.0,0.0,0.8131056462688663,0.0,0.0,54.52565372188384,4.737991776151636,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-15.772253917179178,6.205724556589689,93.66149327095955,
TX_Ethanol_to_Gasoline,0.0,0.0,0.5867605072656027,0.0,0.0,54.52565372188384,4.6021586607656255,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-14.917818199486907,6.205724556589689,94.15375073426254,
NCEN_Ethanol_to_Gasoline,0.0,0.0,0.8932717224518891,0.0,0.0,54.52565372188384,4.636655773531367,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-11.401465229849014,6.205724556589689,98.01111203185248,
CEN_Ethanol_to_Gasoline,0.0,0.0,0.7305259235100601,0.0,0.0,54.52565372188384,4.636637469927638,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-13.144005023862537,6.205724556589689,96.10580813529339,
SE_Ethanol_to_Gasoline,0.0,0.0,1.1080576494506706,0.0,0.0,54.52565372188384,4.636635397821554,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-10.388092406083391,6.205724556589689,99.23925040690706,
MIDAT_Ethanol_to_Gasoline,0.0,0.0,1.142947304786173,0.0,0.0,54.52565372188384,4.6368312118463635,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-9.548672449562053,6.205724556589689,100.11375583278871,
NE_Ethanol_to_Gasoline,0.0,0.0,1.377545695799752,0.0,0.0,54.52565372188384,4.636779063843283,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-8.069838869974417,6.205724556589689,101.82713565538684,
CA_Ethanol_to_Diesel,0.4468272153918554,0.0,1.0554061429305852,0.0,0.0,54.226830181782276,4.711757345347473,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-17.097068416517427,6.339828742483225,102.68288164081707,
NW_Ethanol_to_Diesel,0.41836130902777774,0.0,0.7748173192198565,0.0,0.0,54.226830181782276,4.712056154107457,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-16.929652495216303,6.339828742483225,102.54154164080337,
SW_Ethanol_to_Diesel,0.39694728070240265,0.0,0.8086494849739653,0.0,0.0,54.226830181782276,4.712025586314769,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-15.685815324898337,6.339828742483225,103.79776638075738,
TX_Ethanol_to_Diesel,0.28200738510545376,0.0,0.5835448126337285,0.0,0.0,54.226830181782276,4.576936893592807,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-14.836062274694152,6.339828742483225,104.17238617030243,
NCEN_Ethanol_to_Diesel,0.41713164591130536,0.0,0.8883762173060505,0.0,0.0,54.226830181782276,4.611244947655786,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-11.3389803998696,6.339828742483225,108.14373176466813,
CEN_Ethanol_to_Diesel,0.3870515517766994,0.0,0.7265223338655836,0.0,0.0,54.226830181782276,4.6112267443635115,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-13.071970342125802,6.339828742483225,106.21878964154457,
SE_Ethanol_to_Diesel,0.4544546507485253,0.0,1.101985026990528,0.0,0.0,54.226830181782276,4.611224683613442,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-10.331161285852875,6.339828742483225,109.4024624291642,
MIDAT_Ethanol_to_Diesel,0.47340237975133176,0.0,1.136683472324708,0.0,0.0,54.226830181782276,4.611419424494949,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-9.496341704126108,6.339828742483225,110.29112292610947,
NE_Ethanol_to_Diesel,0.5004612515923317,0.0,1.3699961653792605,0.0,0.0,54.226830181782276,4.611367562284883,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-8.025612755208787,6.339828742483225,112.02217157771227,
CA_Ethanol_to_JetFuel,0.747491136663787,0.0,1.0593447297554048,0.0,0.0,54.42919500629681,4.729340780432096,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-17.16087161574967,6.281507850803703,124.1938214331721,
NW_Ethanol_to_JetFuel,0.6998709112807179,0.0,0.7777087987754403,0.0,0.0,54.42919500629681,4.729640704292891,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-16.992830928194987,6.281507850803703,124.03290588822458,
SW_Ethanol_to_JetFuel,0.6640476762088621,0.0,0.811667220116734,0.0,0.0,54.42919500629681,4.729610022426671,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-15.744351980184096,6.281507850803703,125.27948934063869,
TX_Ethanol_to_JetFuel,0.47176629708016726,0.0,0.5857224974294121,0.0,0.0,54.42919500629681,4.594017202882158,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-14.891427803688574,6.281507850803703,125.57859459577367,
NCEN_Ethanol_to_JetFuel,0.697813824673226,0.0,0.8916914783440895,0.0,0.0,54.42919500629681,4.628453288462315,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-11.381295445228163,6.281507850803703,129.65517954832197,
CEN_Ethanol_to_JetFuel,0.647493246648649,0.0,0.729233585179845,0.0,0.0,54.42919500629681,4.628435017238611,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-13.120752595771748,6.281507850803703,127.70292565536586,
SE_Ethanol_to_JetFuel,0.7602509689394168,0.0,1.106097437873794,0.0,0.0,54.42919500629681,4.628432948798191,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-10.36971533066122,6.281507850803703,130.94358242702066,
MIDAT_Ethanol_to_JetFuel,0.791948365610039,0.0,1.1409253715955014,0.0,0.0,54.42919500629681,4.628628416417813,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-9.531780351674625,6.281507850803703,131.84823820401922,
