Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
CA_Ethanol_to_Gasoline,0.0,0.0,1.062381067580904,0.0,0.0,54.52565372188384,4.730176482709964,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-17.574746785992993,6.708108027454825,103.26472579738537,
NW_Ethanol_to_Gasoline,0.0,0.0,0.7793740119685245,0.0,0.0,54.52565372188384,4.730176482709964,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-17.418144103900694,6.708108027454825,103.13832142386529,
SW_Ethanol_to_Gasoline,0.0,0.0,0.8138238944413635,0.0,0.0,54.52565372188384,4.730176482709964,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-15.841859285291722,6.708108027454825,104.7490561249471,
TX_Ethanol_to_Gasoline,0.0,0.0,0.5873575059794369,0.0,0.0,54.52565372188384,4.602185943495713,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-14.98938736523289,6.708108027454825,105.24707111732977,
NCEN_Ethanol_to_Gasoline,0.0,0.0,0.8943585177916152,0.0,0.0,54.52565372188384,4.635309249928667,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-11.470663778994078,6.708108027454825,109.1059190218137,
CEN_Ethanol_to_Gasoline,0.0,0.0,0.7313669334875504,0.0,0.0,54.52565372188384,4.635309249928667,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-13.213494853996291,6.708108027454825,107.20009636250742,
SE_Ethanol_to_Gasoline,0.0,0.0,1.1093647529336859,0.0,0.0,54.52565372188384,4.635309249928667,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-10.411718530721714,6.708108027454825,110.37987050522814,
MIDAT_Ethanol_to_Gasoline,0.0,0.0,1.145025239560242,0.0,0.0,54.52565372188384,4.635309249928667,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-10.026578072523982,6.708108027454825,110.80067145005243,
NE_Ethanol_to_Gasoline,0.0,0.0,1.3789148345658875,0.0,0.0,54.52565372188384,4.635309249928667,29.766195291688515,1.9528771961215383,16.308550253477915,8.709012611739208,5.6915712187792975,-8.615053288057648,-8.395574362759177,6.708108027454825,112.66556475482288,
CA_Ethanol_to_Diesel,0.4464616305489715,0.0,1.056558772021264,0.0,0.0,54.226830181782276,4.70425312397174,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-17.478429773862036,6.815510895603208,113.37393545460124,
