Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption - ethanol upgrade,elec_consumption - ethanol upgrade,elec_consumption - ethanol prod.,elec_production - ethanol upgrade,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost - ethanol upgrade,investment_cost - ethanol prod.,fixed_om_cost - ethanol upgrade,fixed_om_cost - ethanol prod.,variable_om_cost - ethanol upgrade,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
CA_Ethanol_to_Gasoline,0.0,0.0,1.0634871744199232,0.0,0.0,54.52565372188384,4.71643289376587,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-18.173735688715905,6.922321266380224,92.20543085497864,
NW_Ethanol_to_Gasoline,0.0,0.0,0.778319528489814,0.0,0.0,54.52565372188384,4.7171146166670574,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-18.021090008394122,6.922321266380224,92.07359061227152,
SW_Ethanol_to_Gasoline,0.0,0.0,0.8147039345876056,0.0,0.0,54.52565372188384,4.717043474358221,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-16.41620762600231,6.922321266380224,93.71478625845226,
TX_Ethanol_to_Gasoline,0.0,0.0,0.5886492533304842,0.0,0.0,54.52565372188384,4.602143119970005,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-15.562163937024213,6.922321266380224,94.22787491178505,
NCEN_Ethanol_to_Gasoline,0.0,0.0,0.8937224889090293,0.0,0.0,54.52565372188384,4.635335496605714,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-12.045784692936325,6.922321266380224,98.08251976808718,
CEN_Ethanol_to_Gasoline,0.0,0.0,0.7378932314067291,0.0,0.0,54.52565372188384,4.6353009615043375,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-13.787981005067122,6.922321266380224,96.1844596633527,
SE_Ethanol_to_Gasoline,0.0,0.0,1.111964069105081,0.0,0.0,54.52565372188384,4.635294399835075,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-11.010546828693993,6.922321266380224,99.33595811575492,
MIDAT_Ethanol_to_Gasoline,0.0,0.0,1.145117870772965,0.0,0.0,54.52565372188384,4.636019636963998,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-9.816228653925684,6.922321266380224,100.56415532932003,
NE_Ethanol_to_Gasoline,0.0,0.0,1.3809773841244055,0.0,0.0,54.52565372188384,4.6359049804274255,29.766195291688515,6.609369191043487e-06,16.308550253477915,1.4019874133296636e-06,5.6915712187792975,-8.615053288057648,-8.367413372453418,6.922321266380224,102.24871546760718,
CA_Ethanol_to_Diesel,0.4444846021837338,0.0,1.0576588169290855,0.0,0.0,54.226830181782276,4.690584855681717,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-18.074135965197275,7.033153881956911,102.37787680273553,
NW_Ethanol_to_Diesel,0.41654563645684795,0.0,0.7740540097668325,0.0,0.0,54.226830181782276,4.69126284245437,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-17.922326847474217,7.033153881956911,102.21882013434211,
SW_Ethanol_to_Diesel,0.39279794747067487,0.0,0.810239013999768,0.0,0.0,54.226830181782276,4.69119209003534,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-16.326239896264198,7.033153881956911,103.82727364837987,
TX_Ethanol_to_Diesel,0.26908894929286975,0.0,0.585423207574929,0.0,0.0,54.226830181782276,4.5769214379672905,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-15.476876726291769,7.033153881956911,104.2138413616816,
NCEN_Ethanol_to_Diesel,0.402288787321442,0.0,0.888824513373213,0.0,0.0,54.226830181782276,4.609931906403581,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-11.979768721012272,7.033153881956911,108.18056097922424,
CEN_Ethanol_to_Diesel,0.371217779661551,0.0,0.7338492658130173,0.0,0.0,54.226830181782276,4.6098975605691,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-13.712417063811088,7.033153881956911,106.26183203537086,
