id,commodity,elec_production,elec_consumption,ethanol_production,natgas_consumption,co2_biomass_content,process_capture_rate,process_emission_rate,fuel_capture_rate,fuel_emission_rate,investment_cost,fixed_om_cost,variable_om_cost
MIDAT_Bio_Ethanol_CCS_86_Herb,Biomass_Herb,0.0,0.2632,1.9924,0.0,1.736,1.10103326235625,0.1759712172960929,0,0,520155.64,279265.62,1.67
NCEN_Bio_Ethanol_CCS_86_Herb,Biomass_Herb,0.0,0.2632,1.9967,0.0,1.74,1.103617043913313,0.17638416684209532,0,0,520155.64,279265.62,1.67
SE_Bio_Ethanol_CCS_86_Herb,Biomass_Herb,0.0,0.2632,1.9815,0.0,1.717,1.086814008463593,0.17369864343108696,0,0,520155.64,279265.62,1.67
TX_Bio_Ethanol_CCS_86_Herb,Biomass_Herb,0.0,0.2632,1.9761,0.0,1.714,1.0853086815172646,0.17345805649858395,0,0,520155.64,279265.62,1.67
CEN_Bio_Ethanol_CCS_86_Wood,Biomass_Wood,0.0,0.2632,2.0762,0.0,1.802,1.14128685732971,0.18240469605663892,0,0,520155.64,279265.62,1.67
MIDAT_Bio_Ethanol_CCS_86_Wood,Biomass_Wood,0.0,0.2632,2.0697,0.0,1.806,1.1460331849941159,0.18316327173763536,0,0,520155.64,279265.62,1.67
NCEN_Bio_Ethanol_CCS_86_Wood,Biomass_Wood,0.0,0.2632,2.0751,0.0,1.802,1.1415031119404442,0.18243925867013833,0,0,520155.64,279265.62,1.67
SE_Bio_Ethanol_CCS_86_Wood,Biomass_Wood,0.0,0.2632,2.0838,0.0,1.821,1.1561548750545698,0.1847809577621431,0,0,520155.64,279265.62,1.67
TX_Bio_Ethanol_CCS_86_Wood,Biomass_Wood,0.0,0.2632,2.0577,0.0,1.821,1.1613449857121927,0.18561046048612875,0,0,520155.64,279265.62,1.67
CEN_Bio_Ethanol_CCS_86_Agri,Biomass_Agri,0.0,0.2632,1.8694,0.0,1.7,1.0944308333692248,0.1749159926215254,0,0,520155.64,279265.62,1.67
MIDAT_Bio_Ethanol_CCS_86_Agri,Biomass_Agri,0.0,0.2632,1.8813,0.0,1.708,1.0989496326511476,0.175638203873032,0,0,520155.64,279265.62,1.67
NCEN_Bio_Ethanol_CCS_86_Agri,Biomass_Agri,0.0,0.2632,1.8835,0.0,1.71,1.1002415234296792,0.1758446786460332,0,0,520155.64,279265.62,1.67
SE_Bio_Ethanol_CCS_86_Agri,Biomass_Agri,0.0,0.2632,1.8759,0.0,1.689,1.0836491057048192,0.17319281694052902,0,0,520155.64,279265.62,1.67
TX_Bio_Ethanol_CCS_86_Agri,Biomass_Agri,0.0,0.2632,1.8062,0.0,1.633,1.0492062007918137,0.1676880242044908,0,0,520155.64,279265.62,1.67
