id,commodity,h2_consumption,h2_production,elec_consumption,ethylene_production,natgas_consumption,natgas_production,process_capture_rate,process_emission_rate,fuel_capture_rate,fuel_emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
NW_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
SW_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
TX_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
NCEN_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
CEN_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
SE_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
MIDAT_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
NE_F-NGin-H2out,Ethane,0.0,0.15555899920781585,0.0,0.04858351935980771,0.168122740326781,0.0,0,0.01967126002520943,0,0.03074810841576036,90689.94866168762,49635.759267535745,-2.393332994100141
CA_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
NW_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
SW_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
TX_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
NCEN_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
CEN_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
SE_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
MIDAT_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
NE_F-NGin,Ethane,0.0,0.0,0.0,0.04858351935980771,0.01214467811247021,0.0,0,0.01967126002520943,0,0.002221150324762231,90689.94846735353,49635.75917036871,-2.393091569960389
CA_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
NW_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
SW_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
TX_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
NCEN_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
CEN_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
SE_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
MIDAT_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
NE_F-CC90-NGin,Ethane,0.0,0.0,0.007367748778541422,0.04858351935980771,0.01214467811247021,0.0,0.01770413402268849,0.0019671260025209427,0.001999035292286008,0.00022211503247622304,98911.77652128073,54135.66977734655,-2.273331701113315
CA_F-CC90-NGin-H2out,Ethane,0.0,0.15555899920781585,0.009054510515771174,0.04858351935980771,0.168122740326781,0.0,0.01770413402268849,0.0019671260025209427,0.027673297574184325,0.0030748108415760353,107604.02402443803,58895.31361204106,-2.2636149972277417
