id,commodity,elec_production,elec_consumption,ethanol_production,natgas_consumption,co2_biomass_content,process_capture_rate,process_emission_rate,fuel_capture_rate,fuel_emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
NW_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
SW_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
TX_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
NCEN_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
CEN_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
SE_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
MIDAT_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
NE_DryMill_Existing_Non_CCS,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.0,1.043705066,0.0,0.185341119,322562.05,176727.97,-25.41
