UNSORTED,,,,,,,,,
id_LC,elec_production,elec_consumption,biomass_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel)
CA_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,686.5876207681647,22.352772898575573,17.798124276971542,10.909522866759056,0.0,-0.00046087617161804723,737.6475799342993
NW_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,69.61164255024939,22.303097616811737,17.758570936437994,10.885278285347423,0.0,0.0003025910157508935,120.5588919798623
SW_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,62.588720855083274,22.45167405631722,17.87687312413289,10.957792692020881,0.0,-0.0006524596863585879,113.87440826786789
TX_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,69.62489087301587,22.40155871244151,17.836969389480803,10.933333333333334,0.0,0.00011480560804602549,120.79686711387957
NCEN_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,52.25927544057729,22.169526466193158,17.65221652800221,10.820087379117371,0.0,5.9905379045433356e-05,102.90116571926907
CEN_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,55.67463726603783,22.303097616811737,17.758570936437994,10.885278285347423,0.0,0.0003025910158117178,106.62188669565079
SE_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,49.70701657185258,22.34060962863324,17.788439420822804,10.903586445708632,0.0,-0.0006044050447107262,100.73904766197253
MIDAT_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,49.99329807645003,22.21751481491715,17.690426668565603,10.843508633836768,0.0,0.0006319848332572819,100.74538017860282
NE_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,50.1994550088218,22.13367102738781,17.623667069786954,10.80258772789649,0.0,-0.0003675350394697973,100.75901329885357
CA_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,75.42415829613095,21.00146129291392,16.722158802638255,10.25,0.0,0.00011480560804297085,123.39789319729117
NW_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,74.34448902558367,21.045501824074787,16.757225541354817,10.271494477841465,0.0,-0.0006044050446762895,122.41810646381005
SW_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,67.44399811853246,21.24249405657671,16.914078216930058,10.36763875823142,0.0,0.0005777255785113824,115.96878687584916
TX_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,76.06769591807708,21.410677648642714,17.04799236201266,10.449722656805575,0.0,8.299299065971737e-05,124.97617157852869
NCEN_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,55.688817722356056,21.331794607851347,16.985182697649282,10.41122289924897,0.0,0.0004000643039733607,104.41741799140962
CEN_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,61.27160041544709,21.320716818186238,16.976362142004206,10.405816259087905,0.0,0.0002626407124783962,109.9747582754379
SE_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,54.40172859830668,21.24249405657671,16.914078216930058,10.36763875823142,0.0,0.0005777255785229689,102.9265173556234
