UNSORTED,,,,,,,,,
id_LC,elec_production,elec_consumption,biomass_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel)
CA_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,588.8955860225699,22.352772898575573,17.798124276971542,10.909522866759056,0.0,-0.00046090622076876684,639.9555451586554
NW_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,69.60879994073781,22.303097616811737,17.758570936437994,10.885278285347423,0.0,0.0003026107447010945,120.55604939007966
SW_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,62.59624509072832,22.45167405631722,17.87687312413289,10.957792692020881,0.0,-0.0006525022267645825,113.88193246097252
TX_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,69.62657192460317,22.40155871244151,17.836969389480803,10.933333333333334,0.0,0.00011481309337773079,120.7985481729522
NCEN_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,52.26708752638555,22.169526466193158,17.65221652800221,10.820087379117371,0.0,5.990928487930959e-05,102.90897780898318
CEN_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,55.681882562101826,22.303097616811737,17.758570936437994,10.885278285347423,0.0,0.00030261074476192285,106.62913201144374
SE_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,49.71186940390798,22.34060962863324,17.788439420822804,10.903586445708632,0.0,-0.0006044444519515485,100.7439004546207
MIDAT_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,49.99708810941112,22.21751481491715,17.690426668565603,10.843508633836768,0.0,0.0006320260387017734,100.74917025276935
NE_Gasoline_Gasification_Non_CCS_Herb,0.0,0.0,50.20004557929818,22.13367102738781,17.623667069786954,10.80258772789649,0.0,-0.0003675590027737733,100.75960384536667
CA_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,75.41225167410714,21.00146129291392,16.722158802638255,10.25,0.0,0.00011481309337467597,123.38598658275268
NW_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,74.34616710937136,21.045501824074787,16.757225541354817,10.271494477841465,0.0,-0.0006044444519171096,122.41978450819052
SW_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,67.45020649106303,21.24249405657671,16.914078216930058,10.36763875823142,0.0,0.0005777632462496002,115.97499528604746
