source_file,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol,elec_production - ethanol,biomass_consumption - ethanol,natgas_consumption,natgas_consumption - ethanol,investment_cost,investment_cost - ethanol,fixed_om_cost,fixed_om_cost - ethanol,variable_om_cost,variable_om_cost - ethanol,modified capture cost,modified emissions cost,h2_production,ethane_consumption,natgas_production,co2captured_consumption,gasoline_production,LCOE ($/t-ethylene)
LCOE_BIO_ETHYLENE_5a.xlsx,TX_B-H2in,35.43624435421552,4.4463063933147025,7.545402058449156,0.0,731.5650132921048,0.0,61.74642363375954,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-112.01561582631696,-159.8005763745557,,,,,,478.126814324918
LCOE_BIO_ETHYLENE_5a.xlsx,CEN_B-H2in,40.13181476495616,5.287039574888861,8.972130069904747,0.0,731.5650132921048,0.0,62.732343334828165,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-108.25838270463507,-159.8005763745557,,,,,,489.83299875143894
LCOE_BIO_ETHYLENE_5a.xlsx,NW_B-H2in,44.72118640602291,6.649550698404594,11.284317608643226,0.0,731.5650132921048,0.0,67.24893138070514,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-101.83806399926485,-159.8005763745557,,,,,,509.0339758060071
LCOE_BIO_ETHYLENE_5a.xlsx,NCEN_B-H2in,51.49996775033389,6.944866134101424,11.785469238622893,0.0,731.5650132921048,0.0,62.732825222838315,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-104.67878542911018,-159.8005763745557,,,,,,509.25239662828244
LCOE_BIO_ETHYLENE_5a.xlsx,SW_B-H2in,41.32539144084397,6.6123038888106995,11.221109604308886,0.0,731.5650132921048,0.0,67.24827341822974,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-95.47331996720835,-159.8005763745557,,,,,,511.90181209648097
LCOE_BIO_ETHYLENE_5a.xlsx,SE_B-H2in,55.69949984529893,8.310464449349722,14.102895755693755,0.0,731.5650132921048,0.0,62.73235260190528,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-107.9421778715201,-159.8005763745557,,,,,,513.8710884922235
LCOE_BIO_ETHYLENE_5a.xlsx,MIDAT_B-H2in,57.20211901968625,8.673867110009631,14.719591714369024,0.0,731.5650132921048,0.0,63.07754659102034,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-98.84361282091989,-159.8005763745557,,,,,,525.7975653256614
LCOE_BIO_ETHYLENE_5a.xlsx,NE_B-H2in,57.19522790829226,10.524014722967358,17.859300581089478,0.0,731.5650132921048,0.0,63.07680059131232,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-78.45039014703553,-159.8005763745557,,,,,,551.173007368122
LCOE_BIO_ETHYLENE_5a.xlsx,CA_B-H2in,51.600933222524304,9.356751115969047,15.87844896091314,0.0,731.5650132921048,0.0,67.24232395471985,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-71.87829807107941,-159.8005763745557,,,,,,553.1682128945429
LCOE_SC_ESC_5a.xlsx,CA_F-H2in-CH4out,32.43071034884588,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277104196,0.0,452.54756324196904,-33.29477175151115,,,798.6292793213679
LCOE_SC_ESC_5a.xlsx,NW_F-H2in-CH4out,17.740909890218617,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277104196,0.0,452.54756324196904,-17.62145287496317,,,799.6127977392887
LCOE_SC_ESC_5a.xlsx,CA_F-H2in,1.8778639866453066,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.371204710678
LCOE_SC_ESC_5a.xlsx,MIDAT_F-H2in,1.8818211833746017,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.3751619074072
LCOE_SC_ESC_5a.xlsx,SE_F-H2in,2.2547191021937847,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.7480598262265
LCOE_SC_ESC_5a.xlsx,NW_F-H2in,2.292591317247062,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.7859320412796
LCOE_SC_ESC_5a.xlsx,CEN_F-H2in,2.292591317247062,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.7859320412796
LCOE_SC_ESC_5a.xlsx,SW_F-H2in,2.292591317247062,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.7859320412796
LCOE_SC_ESC_5a.xlsx,TX_F-H2in,2.292591317247062,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.7859320412796
LCOE_SC_ESC_5a.xlsx,NCEN_F-H2in,2.292591317247062,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277103674,0.0,452.54756324196904,0.0,,,801.7859320412796
LCOE_SC_ESC_5a.xlsx,TX_F-H2in-CH4out,22.44771786982689,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277104196,0.0,452.54756324196904,-19.827290979594004,,,802.113767614266
LCOE_SC_ESC_5a.xlsx,NCEN_F-H2in-CH4out,22.44771786982689,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.257270809000964,,0.0,29.848444277104196,0.0,452.54756324196904,-19.827290979594004,,,802.113767614266
