Levelized cost for Bioethylene Production - $/GJ-ethylene - chemicals CO2 sequestration,,,,,,,,,,,,,,,,,,Levelized cost for Bioethylene Production - $/GJ-ethylene - chemicals CO2 sequestration,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol,elec_production - ethanol,biomass_consumption - ethanol,natgas_consumption,natgas_consumption - ethanol,investment_cost,investment_cost - ethanol,fixed_om_cost,fixed_om_cost - ethanol,variable_om_cost,variable_om_cost - ethanol,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol,elec_production - ethanol,biomass_consumption - ethanol,natgas_consumption,natgas_consumption - ethanol,investment_cost,investment_cost - ethanol,fixed_om_cost,fixed_om_cost - ethanol,variable_om_cost,variable_om_cost - ethanol,modified capture cost,modified emissions cost,LCOE ($/t-ethylene)
CA_B-NGin,0.0,8.390258215225696,14.238306137262882,0.0,731.5650132921048,22.568059841770115,63.56552307083433,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-230.65366427388153,-223.22494973566552,295.65216334159766,,NW_B-H2in,45.88328106417707,6.159635720739899,10.452929675842567,0.0,731.5650132921048,0.0,63.56955424938076,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-228.39508433695,-254.87241944084244,283.5665270183996
NW_B-NGin,0.0,6.159635720739899,10.452929675842567,0.0,731.5650132921048,22.569491055960977,63.56955424938076,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-228.39508433695,-223.22494973566552,291.90020671536024,,CA_B-H2in,49.005245629888854,8.390258215225696,14.238306137262882,0.0,731.5650132921048,0.0,63.56552307083433,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-230.65366427388153,-254.87241944084244,290.4418794245395
SW_B-NGin,0.0,6.428594366242077,10.909353713659925,0.0,731.5650132921048,22.569344644394327,63.569141864448994,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-211.61468701358632,-223.22494973566552,309.40542792554527,,TX_B-H2in,30.928825954381033,4.639059276798712,7.872504573471297,0.0,731.5650132921048,0.0,61.74668311191885,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-200.15081203908198,-254.87241944084244,290.93247152269726
TX_B-NGin,0.0,4.639059276798712,7.872504573471297,0.0,731.5650132921048,21.92230586929567,61.74668311191885,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-200.15081203908198,-223.22494973566552,313.5734211427888,,NW_B-NGin,0.0,6.159635720739899,10.452929675842567,0.0,731.5650132921048,22.569491055960977,63.56955424938076,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-228.39508433695,-223.22494973566552,291.90020671536024
NCEN_B-NGin,0.0,7.062405222283659,11.984933602853829,0.0,731.5650132921048,22.086632289439635,62.20952727858823,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-152.97227072174184,-223.22494973566552,367.91490802180977,,CA_B-NGin,0.0,8.390258215225696,14.238306137262882,0.0,731.5650132921048,22.568059841770115,63.56552307083433,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-230.65366427388153,-223.22494973566552,295.65216334159766
CEN_B-NGin,0.0,5.775700682710142,9.801390179910344,0.0,731.5650132921048,22.08654510052916,62.2092817010446,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-176.35174552954027,-223.22494973566552,341.0648524850402,,SW_B-H2in,43.53472287017783,6.428594366242077,10.909353713659925,0.0,731.5650132921048,0.0,63.569141864448994,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-211.61468701358632,-254.87241944084244,298.72333644615185
SE_B-NGin,0.0,8.760550606697674,14.866694000285923,0.0,731.5650132921048,22.08653523008646,62.20925389981324,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-139.37595315956622,-223.22494973566552,386.0907609277032,,SW_B-NGin,0.0,6.428594366242077,10.909353713659925,0.0,731.5650132921048,22.569344644394327,63.569141864448994,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-211.61468701358632,-223.22494973566552,309.40542792554527
MIDAT_B-NGin,0.0,9.036395993775175,15.334804869702783,0.0,731.5650132921048,22.087467986921197,62.21188111617626,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-128.11354308774114,-223.22494973566552,398.1006872292204,,TX_B-NGin,0.0,4.639059276798712,7.872504573471297,0.0,731.5650132921048,21.92230586929567,61.74668311191885,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-200.15081203908198,-223.22494973566552,313.5734211427888
NE_B-NGin,0.0,10.891183132100691,18.48238703195523,0.0,731.5650132921048,22.087219580780022,62.21118145185383,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-108.27218707528428,-223.22494973566552,422.9434644717917,,CEN_B-H2in,42.449420520665385,5.775700682710142,9.801390179910344,0.0,731.5650132921048,0.0,62.2092817010446,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-176.35174552954027,-254.87241944084244,329.78025819999937
CA_B-H2in,49.005245629888854,8.390258215225696,14.238306137262882,0.0,731.5650132921048,0.0,63.56552307083433,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-230.65366427388153,-254.87241944084244,290.4418794245395,,CEN_B-NGin,0.0,5.775700682710142,9.801390179910344,0.0,731.5650132921048,22.08654510052916,62.2092817010446,11.843234411429817,8.867721760404237e-05,11.386217261862534,1.8810319008724457e-05,1.5613297332705607,-115.58727210015257,-176.35174552954027,-223.22494973566552,341.0648524850402
