Levelized cost for Bioethylene Production - $/GJ-ethylene - chemicals CO2 sequestration,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),
CA_B-NGin,0.0,8.399420225845688,14.253854110721383,0.0,731.5650132921048,22.532116624694076,63.46428488685636,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-235.79824014767672,-214.42708043326556,442.2423422295834,
NW_B-NGin,0.0,6.161904321487215,10.456779501570802,0.0,731.5650132921048,22.532116624694076,63.46428488685636,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-233.69711594868443,-214.42708043326556,438.30887591506666,
SW_B-NGin,0.0,6.434272766349008,10.918989984322685,0.0,731.5650132921048,22.532116624694076,63.46428488685636,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-212.54858665614083,-214.42708043326556,460.19198413522395,
TX_B-NGin,0.0,4.643779051676011,7.880514052783863,0.0,731.5650132921048,21.922435830124495,61.747049161465014,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-201.1110597498162,-214.42708043326556,464.473624875376,
NCEN_B-NGin,0.0,7.070998818039738,11.999516973717538,0.0,731.5650132921048,22.080218146761275,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-153.9007121166086,-214.42708043326556,518.8323894627988,
CEN_B-NGin,0.0,5.782350354817547,9.81267470355061,0.0,731.5650132921048,22.080218146761275,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-177.28409501107478,-214.42708043326556,491.97351583494356,
SE_B-NGin,0.0,8.770884398121266,14.884230491067663,0.0,731.5650132921048,22.080218146761275,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-139.6929587535695,-214.42708043326556,537.6247419232695,
MIDAT_B-NGin,0.0,9.05282575868469,15.362686255059963,0.0,731.5650132921048,22.080218146761275,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-134.52553901594845,-214.42708043326556,543.5525587854464,
NE_B-NGin,0.0,10.902006238585129,18.500753892608216,0.0,731.5650132921048,22.080218146761275,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-112.82464112730973,-214.42708043326556,570.2407047915337,
CA_B-H2in,48.965176859747544,8.399420225845688,14.253854110721383,0.0,731.5650132921048,0.0,63.46428488685636,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-235.79824014767672,-246.76381137540156,436.33867152250093,
NW_B-H2in,45.85861614828784,6.161904321487215,10.456779501570802,0.0,731.5650132921048,0.0,63.46428488685636,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-233.69711594868443,-246.76381137540156,429.2986444965245,
SW_B-H2in,43.445587413323224,6.434272766349008,10.918989984322685,0.0,731.5650132921048,0.0,63.46428488685636,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-212.54858665614083,-246.76381137540156,448.76872398171713,
TX_B-H2in,30.57123154670196,4.643779051676011,7.880514052783863,0.0,731.5650132921048,0.0,61.747049161465014,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-201.1110597498162,-246.76381137540156,440.7856896498175,
NCEN_B-H2in,45.480996401149724,7.070998818039738,11.999516973717538,0.0,731.5650132921048,0.0,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-153.9007121166086,-246.76381137540156,509.8964367750516,
CEN_B-H2in,42.349626044014954,5.782350354817547,9.81267470355061,0.0,731.5650132921048,0.0,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-177.28409501107478,-246.76381137540156,479.90619279006114,
SE_B-H2in,49.53544017512284,8.770884398121266,14.884230491067663,0.0,731.5650132921048,0.0,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-139.6929587535695,-246.76381137540156,532.7432330094953,
MIDAT_B-H2in,51.61779095326143,9.05282575868469,15.362686255059963,0.0,731.5650132921048,0.0,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-134.52553901594845,-246.76381137540156,540.7534006498107,
NE_B-H2in,54.840952887752316,10.902006238585129,18.500753892608216,0.0,731.5650132921048,0.0,62.191461111746264,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-112.82464112730973,-246.76381137540156,570.664708590389,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
